*00  04 0装置運転時間                            h                   
*00  14 0消耗品グループ１                        h                   
*00  24 0消耗品グループ２                        h                   
*00  34 0消耗品グループ３                        h                   
*00  44 0複式ポンプポペット運転時間              h                   
*00  54 0複式ポンプキャップシール運転時間        h                   
*00  64 0複式ポンプスライダー運転時間            h                   
*00  74 0背圧弁ダイアフラム運転時間              h                   
*00  84 0除水ポンプポペット運転時間              h                   
*00  94 0除水ポンプキャップシール運転時間        h                   
*00 104 0脱気ポンプメカシ運転時間                h                   
*00 114 0加圧ポンプメカシ運転時間                h                   
*00 124 0原液ポンプポペット運転時間              h                   
*00 134 0原液ポンプキャップシール運転時間        h                   
*00 144 0原液ポンプ背圧ダイアフラム運転時間      h                   
*00 154 0原液フィルター運転時間                  h                   
*00 164 0微粒子ろ過フィルタ運転時間              h                   
*00 174 0エアフィルタ運転時間                    h                   
*00 184 0薬液フィルタ運転時間                    h                   
*00 194 0透析液戻り口フィルタ                    h                   
*00 204 0装置背面ファン用フィルタ                h                   
*00 214 0原液ノズルOリング                       h                   
*00 224 0バイパスコネクタＯリング                h                   
*00 234 0ダイアライザーカップリングＯリング      h                   
*00 244 0電磁弁                                  h                   
*00 254 0薬液電磁弁                              h                   
*00 264 0脱気ポンプインペラ                      h                   
*00 274 0加圧ポンプインペラ                      h                   
*00 284 0複式ポンプテープベアリング              h                   
*00 294 0逆止弁                                  h                   
*00 304 0脱気ポンプフィルタ                      h                   
*00 314 0微粒子ろ過フィルタ２運転時間            h                   
*00 324 0レベル調整ポンプしごき部                H                   
*00 334 0サンプルポートガスケット                H                   
*00 344 0ダイアライザーカップリング              H                   
*00 354 0サンプルポート逆止弁                    H                   
*00 364 0                                                            
*00 374 0                                                            
*00 384 0                                                            
*00 394 0                                                            
*00 434 0配管自己診断　配管漏れ（陰圧）データ    mmHg                
*00 444 0配管自己診断　配管漏れ（陽圧）データ    mmHg                
*00 454 0配管自己診断　ＣＦ漏れデータ            mmHg                
*00 464 0配管自己診断　バランスデータ            mmHg                
*00 475 0配管自己診断　結果                                          
*00 484 0配管自己診断　除水データ                mmHg                
*00 494 0配管自己診断　ＣＦ２漏れデータ          mmHg                
*00 534 3漏血テスト　赤電圧	V                                        
*00 544 3漏血テスト　緑電圧	V                                        
*00 584 0透析液流量自己診断 測定値               mL/min              
*00 594 0                                                            
*00 634 1濃度自己診断　Ｂ原液                    ％                  
*00 644 1濃度自己診断　Ａ原液                    ％                  
*00 655 0濃度自己診断　結果                                          
A01  10 0装置運転時間                            h                   
A01  20 0消耗品グループ１                        h                   
A01  30 0消耗品グループ２                        h                   
A01  40 0消耗品グループ３                        h                   
A01  50 0水計量シリンダ（往復動運転）            h                   
A01  60 0水計量シリンダ（バイパス運転）          h                   
A01  70 0B原液注入ポンプ P1 運転時間             h                   
A01  80 0A原液注入ポンプ P2 運転時間             h                   
A01  90 0送液ポンプ P4 運転時間                  h                   
A01 100 0薬液注入ポンプ P5 運転時間              h                   
A01 110 0脱気ポンプ P6 運転時間                  h                   
A01 120 0脱気ポンプ P7 運転時間                  h                   
A01 130 0パワーユニットファンフィルタ            h                   
A01 140 0水計量シリンダ電磁弁動作回数            万回                
A01 150 0給水電磁弁動作回数                      万回                
A018010 0配管テスト　注水判定時間                sec                 
A018050 0配管テスト　排液判定時間                sec                 
A018065 0配管テスト　結果                                            
A018074 1配管テスト　給水圧                      kPa                 
A018084 1配管テスト　送液圧低                    kPa                 
A018094 1配管テスト　送液圧高                    Kpa                 
A018104 2配管テスト　濃度セル3                   mS/cm               
A018114 2配管テスト　濃度セル4                   mS/cm               
A019044 2希釈テスト　Ｂ液濃度                    mS/Cm               
A019054 1希釈テスト　透析液濃度                  mS/Cm               
A019065 0希釈テスト　結果                                            
D01  10 0装置運転時間                            h                   
D01  20 0消耗品グループ１（回数）                回                  
D01  30 0消耗品グループ１（時間）                h                   
D01  40 0消耗品グループ２                        h                   
D01  50 0消耗品グループ３                        h                   
D01  60 0減容カッター                            回                  
D01  70 0微粒子除去フィルタ                      h                   
D01  80 0電源装置ファン用フィルタ                h                   
D01  90 0HEPAフィルタ用フィルタ                  h                   
D017030 0曜日                                    曜日                
D017054 0溶解回数                                                    
D017064 0Ｂ原液溶解時間                          秒                  
D017074 0Ａ原液溶解時間                          秒                  
D017084 1Ｂ原液濃度                              mS/cm               
D017094 1Ａ原液濃度                              mS/cm               
D017104 1Ｂ原液温度                              ℃                  
D017114 1Ａ原液温度                              ℃                  
D017124 0Ｂ原液溶解判定                                              
D017134 0Ａ原液溶解判定                                              
R01  10 010μフィルタ                            h                   
R01  20 0カーボンフィルタ                        h                   
R01  30 0LRO膜                                   h                   
R01  40 0RO膜                                    h                   
R01  50 0エアフィルタ                            h                   
R01  60 0RO水タンクUVランプ                      h                   
